,job,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,w
0,1,48,69,26,68,84,24,93,58,15,24,73,90,43,91,9,40,69,49,8,45,10
1,2,1,76,56,7,20,61,45,64,70,57,25,56,54,62,65,35,57,74,79,39,2
2,3,5,10,88,68,73,84,49,2,65,17,32,94,45,93,72,24,11,36,65,62,1
3,4,8,24,93,97,22,36,98,68,92,98,20,28,5,20,34,31,58,74,94,82,2
4,5,32,3,84,51,19,22,68,76,59,48,17,13,94,10,77,68,15,21,54,16,9
5,6,60,36,49,5,44,73,91,55,44,88,78,51,40,4,30,13,77,80,30,9,1
6,7,55,39,71,22,45,92,8,82,70,53,42,30,27,65,63,87,99,13,7,35,8
7,8,60,94,18,6,80,50,55,77,93,55,48,38,74,88,22,5,92,77,76,7,5
8,9,98,86,86,31,93,57,52,56,13,77,37,72,86,59,42,16,44,60,83,64,1
9,10,29,17,6,36,78,33,88,96,34,46,41,92,15,46,43,97,35,96,56,19,4
10,11,10,74,14,86,44,2,32,15,81,49,26,34,86,84,83,65,78,59,11,53,7
11,12,28,29,9,98,90,45,52,55,43,93,8,16,1,83,49,65,45,10,47,57,2
12,13,99,49,44,6,22,17,12,33,41,37,70,29,94,50,62,53,96,8,93,59,6
13,14,51,49,79,48,63,78,84,78,25,68,8,50,33,34,76,92,69,96,62,95,1
14,15,79,44,77,17,27,97,98,9,53,95,98,80,23,57,54,35,13,5,45,56,1
15,16,21,44,50,19,57,22,51,23,19,70,6,6,71,96,30,17,43,47,69,78,5
16,17,67,13,55,89,92,56,17,6,94,74,45,56,40,79,71,63,3,38,87,47,2
17,18,10,36,16,21,33,22,71,85,1,85,34,22,67,12,48,12,37,73,44,72,6
18,19,54,8,22,20,87,46,51,82,34,9,80,75,19,92,60,82,91,1,73,14,3
19,20,25,13,50,99,68,97,91,82,76,2,38,38,55,74,92,84,44,51,85,67,4
20,21,9,63,85,58,49,75,33,67,23,68,42,29,54,80,46,74,42,37,41,13,4
21,22,99,37,87,70,60,80,4,38,87,47,15,20,51,38,58,88,70,89,12,27,7
22,23,35,81,42,84,35,64,75,69,68,5,8,59,3,40,57,75,73,94,5,1,8
23,24,53,88,21,94,32,50,23,31,65,35,85,80,21,18,11,1,1,99,36,29,6
24,25,42,36,86,46,89,61,87,88,93,12,12,23,29,37,67,94,55,43,9,39,7
25,26,91,18,17,72,57,5,47,68,88,47,29,45,37,32,49,41,22,60,65,29,10
26,27,8,44,91,6,77,66,86,90,53,90,22,38,26,69,30,23,33,64,87,99,5
27,28,11,78,36,34,39,81,69,24,1,83,74,7,18,3,15,47,67,32,9,78,4
28,29,93,42,27,19,85,24,56,29,93,80,46,98,65,2,25,59,37,43,48,87,9
29,30,44,2,85,73,88,47,52,28,36,79,23,90,62,56,26,31,77,58,47,88,10
30,31,60,89,87,28,3,51,19,18,53,82,5,90,94,76,96,59,4,31,78,70,3
31,32,63,1,80,61,45,14,97,56,97,55,76,66,97,7,49,4,39,56,95,5,10
32,33,92,31,27,47,56,42,55,27,92,90,64,67,22,85,75,98,38,45,50,83,7
33,34,46,82,56,18,99,73,78,63,48,70,23,41,52,83,66,46,54,33,53,72,5
34,35,5,30,77,1,3,48,86,23,74,95,87,54,88,44,53,11,9,76,40,57,7
35,36,68,72,17,71,8,78,17,3,5,67,30,78,64,25,65,86,91,94,80,5,8
36,37,22,28,45,75,28,65,86,26,68,6,1,46,18,75,40,24,67,84,87,77,10
37,38,53,25,3,72,93,72,51,61,36,97,26,42,85,59,52,6,55,36,80,41,5
38,39,5,28,9,66,21,3,47,78,9,22,12,65,11,34,28,32,12,32,34,10,5
39,40,94,79,67,74,76,66,99,64,82,6,60,39,96,51,15,82,87,17,6,40,8
40,41,85,3,23,5,98,52,97,89,50,55,11,17,42,97,44,59,20,19,45,83,5
41,42,58,1,13,46,22,17,47,92,61,83,16,93,20,75,45,90,65,89,33,40,1
42,43,49,79,38,40,15,28,52,3,82,57,2,67,31,74,88,69,46,45,31,81,6
43,44,70,53,40,66,91,97,48,78,76,40,12,98,38,55,89,27,85,33,39,52,5
44,45,93,83,2,45,75,75,49,3,32,32,50,16,46,7,85,23,9,18,32,72,6
45,46,43,74,92,32,59,73,39,50,1,32,24,97,8,1,60,31,92,49,21,65,2
46,47,60,3,71,35,50,78,29,5,63,48,21,18,40,87,83,96,88,15,17,18,5
47,48,8,62,72,36,65,22,94,31,74,58,46,57,10,2,21,17,16,91,36,67,5
48,49,20,70,78,67,97,39,32,12,87,64,65,22,44,2,15,83,56,36,11,99,3
49,50,50,7,11,47,58,27,15,8,64,94,31,46,89,45,73,57,90,32,42,89,9
