,job,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,w
0,1,43,20,70,63,50,47,67,9,25,99,18,6,86,63,11,76,56,37,69,66,10
1,2,68,74,6,15,71,86,14,9,19,65,94,10,78,11,59,78,16,60,4,51,8
2,3,29,4,32,22,12,56,99,26,30,23,90,68,53,64,86,27,36,39,12,10,1
3,4,33,53,92,47,45,29,35,14,70,54,79,84,52,78,80,8,60,28,79,12,1
4,5,52,17,54,48,85,20,71,15,2,11,36,83,21,69,81,15,73,99,37,6,8
5,6,93,23,29,87,94,11,77,24,24,80,20,94,51,88,81,67,33,6,55,67,5
6,7,17,47,74,54,74,78,3,28,38,21,76,32,68,28,97,24,20,79,60,81,5
7,8,23,44,62,22,88,74,71,99,67,67,61,63,11,16,16,73,2,35,46,47,2
8,9,91,66,76,63,64,73,84,68,23,86,31,76,56,62,43,14,3,99,47,52,5
9,10,85,80,14,52,83,72,89,29,50,82,55,74,33,61,32,5,84,67,5,61,6
10,11,19,73,79,13,26,87,16,79,76,47,71,37,68,85,64,44,78,38,81,57,5
11,12,83,68,99,59,1,65,86,39,91,87,98,21,25,8,38,95,32,55,11,65,7
12,13,6,73,53,49,68,45,88,43,67,22,66,50,66,86,8,72,54,76,6,83,1
13,14,6,94,70,22,73,79,77,64,59,5,74,83,5,34,77,73,77,87,90,4,6
14,15,96,58,71,82,35,40,25,23,69,55,34,73,67,67,28,58,15,51,32,85,8
15,16,67,65,79,77,95,43,41,77,8,37,82,46,46,82,68,86,57,5,77,66,5
16,17,64,54,93,85,36,18,76,3,91,59,54,35,74,92,43,87,89,42,66,24,7
17,18,57,45,91,56,30,72,28,99,88,1,75,97,8,66,9,40,26,13,53,14,10
18,19,46,43,13,54,74,77,62,62,60,32,58,72,43,84,43,56,83,35,77,9,9
19,20,80,68,97,58,82,93,87,3,94,27,45,11,94,59,46,11,99,50,62,74,7
20,21,20,57,97,28,49,35,49,5,8,88,68,10,37,51,40,97,6,13,63,6,7
21,22,87,17,28,59,81,91,41,63,4,88,38,50,3,16,8,85,44,62,32,47,8
22,23,95,74,51,32,53,19,8,86,63,42,60,99,46,81,60,84,93,86,81,78,5
23,24,78,50,87,40,89,57,65,78,70,56,40,90,79,27,93,92,34,24,18,11,7
24,25,5,43,97,15,95,22,70,53,96,60,1,18,3,22,29,24,87,46,49,58,2
25,26,52,34,99,13,73,10,76,71,85,48,31,84,92,29,80,73,50,3,34,42,2
26,27,86,10,35,20,93,34,43,82,17,45,90,65,46,90,89,43,55,70,14,68,6
27,28,58,89,21,89,32,44,80,32,32,75,93,22,17,35,3,93,89,60,34,25,2
28,29,88,64,28,24,60,23,99,75,26,53,68,37,38,93,96,26,6,61,97,69,5
29,30,74,82,63,62,21,48,78,89,35,82,42,7,88,11,46,59,12,32,22,38,10
30,31,95,98,78,15,54,25,93,16,93,92,33,47,71,18,26,49,97,75,59,80,1
31,32,90,16,56,36,10,26,86,96,27,87,62,76,97,55,87,31,6,39,41,80,5
32,33,95,56,72,16,15,47,29,47,69,18,78,92,47,79,59,9,98,4,97,75,3
33,34,57,61,23,81,18,79,33,4,80,23,57,41,10,89,18,60,79,22,52,25,10
34,35,23,42,71,65,58,22,78,40,22,24,88,32,59,13,95,13,53,36,46,34,4
35,36,25,30,96,75,64,69,80,91,84,13,27,98,78,81,56,13,36,96,48,72,2
36,37,76,25,31,12,29,4,93,18,95,19,24,37,69,43,73,86,97,63,5,46,7
37,38,58,52,49,6,61,78,91,64,30,31,37,49,26,27,2,95,47,52,14,57,4
38,39,65,20,83,42,67,92,42,12,86,4,16,8,23,82,78,73,12,93,38,48,5
39,40,63,54,96,18,47,87,30,98,40,19,87,6,20,71,91,67,97,13,21,22,6
40,41,15,24,79,66,82,59,59,83,4,27,98,60,21,12,12,20,25,14,79,2,6
41,42,17,71,62,35,45,55,38,43,75,54,15,28,79,33,58,88,28,35,40,86,7
42,43,9,19,5,54,50,39,28,89,95,65,99,44,52,60,91,91,60,88,96,56,5
43,44,66,95,37,94,57,80,46,78,37,67,38,17,37,14,71,5,6,72,74,89,4
44,45,22,16,49,14,9,94,44,47,93,53,63,78,47,21,94,31,8,51,34,33,10
45,46,34,57,49,84,38,59,89,61,67,11,31,21,83,52,59,88,70,23,75,77,10
46,47,7,65,93,18,79,26,77,91,24,89,82,6,33,52,62,62,57,48,62,61,1
47,48,68,1,83,49,87,79,2,86,10,3,59,18,92,55,23,32,62,28,91,37,6
48,49,18,69,2,41,12,27,11,69,35,71,3,92,55,45,44,20,28,5,19,94,3
49,50,35,6,31,44,97,97,43,34,91,74,44,32,28,98,75,22,46,59,62,43,10
