,job,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,w
0,1,84,41,74,55,32,77,92,40,91,26,52,7,46,13,50,67,76,86,70,65,2
1,2,13,22,49,42,80,91,63,58,20,34,60,40,16,37,66,2,44,16,87,84,4
2,3,59,26,67,75,36,97,57,14,61,23,39,32,95,79,1,22,7,33,99,33,9
3,4,15,32,79,84,81,71,67,83,86,56,28,63,44,75,72,43,84,22,7,69,2
4,5,23,44,9,86,63,33,61,12,2,42,27,38,42,57,40,82,33,54,36,24,7
5,6,30,43,39,5,94,33,51,86,28,34,92,96,35,1,92,12,63,97,89,55,8
6,7,90,79,42,71,86,6,8,5,17,10,57,49,44,63,71,32,3,1,16,33,3
7,8,49,16,62,3,35,23,43,67,90,2,79,54,81,64,85,88,71,3,60,46,3
8,9,24,24,89,86,32,61,4,50,63,10,22,66,81,82,12,69,81,93,30,11,6
9,10,81,72,21,34,73,18,7,37,11,50,36,26,43,82,31,53,1,10,42,30,9
10,11,97,25,5,3,85,2,42,55,78,19,99,57,4,36,22,77,58,87,82,1,7
11,12,69,85,22,53,73,94,22,97,61,68,61,10,14,82,36,7,63,72,42,48,7
12,13,42,89,53,98,56,59,88,82,54,49,27,49,21,52,81,16,73,10,96,68,2
13,14,70,17,25,93,72,48,43,88,93,50,40,6,9,53,4,5,73,81,20,9,7
14,15,87,93,7,72,68,69,4,64,78,42,84,1,29,14,35,11,78,17,65,85,7
15,16,20,82,66,17,48,82,48,12,69,41,54,94,6,55,85,76,97,62,43,87,5
16,17,82,45,91,85,42,94,30,59,31,78,82,37,61,85,47,76,11,40,1,17,3
17,18,31,80,82,37,75,68,33,96,46,9,44,34,81,50,36,96,44,32,58,90,5
18,19,29,33,28,52,98,61,13,56,83,69,32,57,14,3,14,93,43,6,66,76,2
19,20,3,96,55,66,42,67,27,44,66,51,88,30,77,70,10,78,10,51,37,41,3
20,21,90,99,87,60,85,83,34,4,87,33,22,8,39,91,14,62,55,62,8,14,4
21,22,81,92,79,17,3,68,92,88,83,19,23,58,96,42,17,77,95,64,17,98,3
22,23,90,78,34,39,2,17,29,5,66,14,36,51,66,55,66,62,89,78,90,29,2
23,24,17,78,48,53,76,52,84,96,43,33,49,13,12,22,26,72,70,28,92,95,3
24,25,15,13,43,45,77,21,35,84,41,45,73,90,44,89,77,43,18,41,56,59,4
25,26,32,88,57,21,19,85,72,87,16,2,25,52,54,42,57,45,36,10,78,45,9
26,27,10,49,45,12,62,34,45,19,38,83,12,79,1,61,76,72,50,57,88,99,4
27,28,18,1,68,19,37,2,64,34,34,37,17,42,64,53,94,98,43,73,53,91,4
28,29,94,3,50,18,61,62,48,71,62,48,73,75,69,22,91,63,74,11,12,55,10
29,30,58,62,80,92,56,40,81,90,56,10,70,75,93,5,17,13,52,70,50,77,9
30,31,3,37,47,53,47,53,17,9,84,29,51,59,95,37,5,40,98,97,19,43,2
31,32,55,77,69,54,59,32,66,65,87,41,14,71,72,54,14,33,8,49,36,88,5
32,33,73,48,53,82,93,52,21,48,90,50,65,37,67,38,56,33,87,8,31,73,10
33,34,5,98,50,59,73,7,24,91,17,94,75,2,35,82,12,31,63,90,49,35,2
34,35,2,85,8,6,82,59,65,25,21,62,93,4,58,60,63,49,99,52,75,9,1
35,36,17,21,77,98,15,50,70,73,58,69,3,95,32,52,56,11,70,54,62,89,7
36,37,13,87,13,62,81,6,42,6,65,28,98,74,28,97,6,8,74,32,46,66,7
37,38,41,36,3,82,56,19,64,92,29,52,37,25,92,8,40,47,28,87,32,95,5
38,39,70,95,67,79,17,33,41,53,16,91,79,47,97,38,57,1,89,12,46,62,7
39,40,48,43,38,49,24,66,57,53,80,64,44,91,32,37,45,49,33,66,26,14,7
40,41,18,15,61,22,73,51,71,90,28,93,5,53,9,2,21,18,16,80,97,64,8
41,42,83,2,34,14,22,45,86,36,5,72,54,56,28,53,71,70,71,30,16,27,7
42,43,23,88,60,46,69,4,86,75,98,93,41,51,6,13,48,62,58,19,89,22,9
43,44,49,84,63,9,51,46,30,55,77,91,7,34,10,85,26,36,74,84,59,92,6
44,45,23,42,57,38,86,29,66,66,96,80,77,87,76,55,4,72,63,20,35,42,9
45,46,66,27,17,89,26,39,46,78,49,50,83,47,57,31,44,89,36,77,40,42,3
46,47,6,54,22,98,82,10,16,93,20,77,86,34,7,34,83,43,89,82,67,87,7
47,48,83,32,59,18,84,33,28,70,87,84,43,90,13,78,55,9,44,30,35,7,1
48,49,17,11,60,79,93,21,54,72,33,50,51,53,40,13,41,17,64,15,60,5,4
49,50,71,40,71,15,15,25,85,57,63,15,62,99,74,80,64,50,14,64,34,25,10
