,job,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,w
0,1,41,16,73,23,44,83,76,8,35,50,96,76,86,48,64,32,91,21,38,40,5
1,2,68,5,43,52,39,34,59,68,70,89,69,47,71,96,84,32,67,81,53,77,1
2,3,51,5,91,64,80,50,40,47,9,51,16,9,18,23,74,58,91,63,84,97,10
3,4,44,33,27,9,77,11,41,35,61,10,71,87,71,20,57,83,2,69,41,82,9
4,5,62,71,98,19,85,91,88,23,44,53,75,73,91,92,97,17,56,22,44,94,2
5,6,81,41,71,75,38,60,18,16,31,78,27,40,64,21,23,60,50,28,1,63,5
6,7,41,59,93,37,64,76,51,74,8,50,83,2,80,92,97,50,41,47,60,74,4
7,8,79,95,96,33,17,22,44,59,99,22,50,64,84,93,52,98,9,87,89,12,10
8,9,2,44,70,60,64,8,81,93,80,18,38,58,32,35,81,43,49,37,23,20,10
9,10,96,18,46,73,38,10,22,37,40,84,91,37,41,20,57,9,79,50,52,28,10
10,11,68,80,3,23,6,6,83,94,13,93,7,45,6,17,70,53,63,27,84,26,6
11,12,37,16,86,19,23,94,15,65,70,88,34,72,97,83,94,80,29,21,91,81,6
12,13,7,39,25,7,44,58,22,86,37,64,84,5,55,35,77,80,40,63,86,2,1
13,14,52,46,29,24,37,82,83,93,92,39,75,27,63,34,3,60,58,39,97,86,6
14,15,77,20,54,83,9,12,42,59,24,28,59,61,17,5,48,77,62,99,24,20,4
15,16,98,32,82,90,74,60,1,9,11,9,47,36,79,80,55,50,7,98,99,96,3
16,17,50,30,35,55,60,98,14,13,48,84,59,45,67,32,36,51,91,11,92,43,2
17,18,44,36,43,4,94,65,6,11,12,95,82,83,66,87,35,15,87,30,20,42,8
18,19,65,95,99,12,22,22,28,84,74,18,41,80,11,50,69,14,31,83,7,88,6
19,20,22,91,81,18,38,71,58,30,48,57,35,23,1,23,27,1,69,52,52,24,3
20,21,48,64,29,81,74,47,63,55,81,55,49,52,8,52,64,65,89,54,50,76,8
21,22,48,17,39,47,60,88,89,53,26,3,72,38,10,11,84,55,13,96,5,65,6
22,23,96,27,75,79,15,70,17,92,6,97,74,9,15,77,92,42,94,48,74,41,7
23,24,77,98,82,67,99,61,87,95,12,89,16,84,92,26,46,73,37,33,97,92,9
24,25,5,13,24,6,90,95,91,42,23,97,60,28,39,25,51,27,93,32,97,40,9
25,26,44,46,6,8,96,7,74,84,17,21,74,28,81,75,32,77,10,21,23,6,5
26,27,10,22,29,42,51,47,83,53,97,74,67,66,18,26,36,26,99,67,9,67,2
27,28,54,19,87,39,6,33,86,80,11,59,4,11,42,24,87,45,32,38,8,97,10
28,29,61,80,18,12,98,28,7,18,32,7,6,13,70,95,25,10,34,53,34,46,10
29,30,59,63,90,6,52,44,13,94,65,4,70,8,39,98,3,65,30,78,79,77,2
30,31,34,49,53,51,73,95,66,42,41,87,62,7,37,14,46,3,63,3,4,95,8
31,32,11,64,24,84,17,79,63,35,29,18,70,83,67,33,61,76,6,98,73,9,8
32,33,50,17,30,51,93,51,87,22,7,79,62,52,76,17,45,13,25,59,49,51,10
33,34,93,50,54,91,13,41,32,89,89,71,22,80,56,85,98,98,13,83,8,87,8
34,35,41,27,74,39,56,40,68,76,94,44,30,28,11,89,43,44,37,49,26,53,3
35,36,91,44,85,33,5,83,91,54,54,98,65,48,81,41,50,98,64,13,43,4,2
36,37,17,3,73,26,97,54,83,40,3,52,93,99,51,58,89,36,65,91,2,72,1
37,38,25,17,27,53,92,76,35,14,29,83,20,50,84,75,86,72,77,27,47,77,10
38,39,24,26,71,36,5,92,9,4,58,7,48,86,2,78,41,99,30,75,29,71,3
39,40,76,87,55,93,11,31,13,99,81,90,38,17,50,86,44,80,61,3,86,23,6
40,41,80,83,61,97,75,27,23,50,27,87,88,36,9,19,63,43,9,45,93,93,7
41,42,92,79,44,84,9,47,25,3,32,30,62,29,27,13,73,62,11,74,48,94,10
42,43,70,22,13,43,78,55,84,11,11,42,20,14,8,1,45,57,33,78,89,17,4
43,44,88,33,57,57,2,7,6,40,52,6,3,60,74,36,82,29,84,95,98,15,4
44,45,68,62,84,12,78,6,85,12,3,49,63,59,75,35,58,77,6,95,75,6,4
45,46,58,89,53,35,76,65,12,92,48,82,75,37,92,7,73,71,53,20,51,40,4
46,47,53,20,90,81,35,52,96,65,18,2,42,87,98,22,52,53,62,34,98,90,6
47,48,58,56,92,43,3,51,78,10,67,8,2,41,35,92,31,57,83,58,29,62,2
48,49,19,90,15,87,42,63,23,60,40,81,56,66,60,40,50,7,26,36,61,47,6
49,50,64,79,51,99,54,2,7,76,27,17,88,82,81,64,93,95,85,91,97,30,6
50,51,57,65,28,19,44,28,88,71,92,94,66,58,44,97,8,37,87,48,49,29,1
51,52,44,16,54,16,93,11,17,62,66,80,72,23,64,95,88,14,21,27,47,74,10
52,53,5,51,13,73,26,40,60,60,54,76,7,1,12,83,70,40,20,62,71,94,2
53,54,25,94,50,83,2,88,50,21,41,78,46,1,36,11,38,65,97,43,95,45,9
54,55,13,67,83,67,97,47,22,32,34,42,40,91,9,87,50,47,63,56,26,5,7
55,56,1,19,78,75,9,87,61,11,86,6,96,64,14,86,81,93,65,20,74,93,3
56,57,84,32,54,24,43,42,29,1,12,7,64,91,76,55,79,24,81,32,76,92,4
57,58,17,9,26,40,38,96,49,39,98,24,2,30,80,8,66,88,37,33,12,92,9
58,59,51,75,37,68,17,37,9,73,31,94,2,29,49,49,46,24,34,16,12,10,6
59,60,74,61,32,22,77,37,15,91,12,98,13,28,93,13,66,23,24,86,86,82,6
60,61,30,69,90,29,56,75,58,45,46,22,24,28,45,11,67,46,35,88,55,8,5
61,62,71,54,29,44,38,37,81,92,5,88,41,12,59,10,57,79,3,84,52,51,5
62,63,90,73,26,72,68,8,60,26,66,97,54,31,16,42,85,70,83,11,36,5,8
63,64,89,68,95,80,93,17,34,59,14,49,69,90,44,92,19,60,94,33,73,66,7
64,65,58,64,82,42,7,33,42,14,66,5,10,90,92,29,5,60,8,10,88,27,2
65,66,58,76,2,93,63,32,16,33,95,41,50,67,30,24,22,29,33,7,62,22,1
66,67,35,78,66,68,4,44,37,58,11,32,48,70,34,49,86,57,76,98,50,98,3
67,68,8,95,54,47,70,25,73,79,68,75,33,85,19,26,1,76,38,64,60,45,5
68,69,76,30,14,29,21,21,98,39,71,80,7,47,20,39,82,53,59,22,86,55,7
69,70,85,20,92,78,78,73,47,83,35,2,67,4,85,1,89,42,85,54,22,75,3
70,71,39,65,50,70,45,55,54,10,75,98,31,56,29,19,33,22,37,28,32,14,1
71,72,35,86,14,65,61,65,40,1,66,88,27,24,34,85,76,25,13,98,49,94,4
72,73,28,20,44,20,89,90,42,68,93,31,53,42,48,86,36,24,5,64,14,13,6
73,74,92,34,38,7,71,40,7,76,60,17,95,2,98,18,58,65,4,1,97,42,5
74,75,99,17,19,21,58,56,22,48,75,65,9,47,96,78,46,38,36,87,60,84,10
75,76,99,24,61,22,71,94,51,64,3,81,54,47,34,45,88,35,87,18,75,63,8
76,77,50,80,85,74,3,35,57,10,31,68,20,56,92,54,13,7,39,86,4,66,2
77,78,71,29,18,25,76,41,61,8,3,11,52,48,16,67,71,36,53,53,82,61,5
78,79,67,11,1,94,58,86,47,79,7,34,87,87,68,90,3,94,93,47,28,30,2
79,80,58,10,4,59,69,20,76,56,40,32,72,34,50,54,34,62,54,19,43,69,7
80,81,69,51,63,79,83,26,54,94,83,76,19,35,92,31,52,29,31,76,90,47,7
81,82,3,55,6,74,78,82,62,7,1,37,21,59,2,5,70,32,25,20,64,25,8
82,83,66,55,85,55,70,65,30,98,30,72,34,24,49,23,12,40,97,41,78,44,1
83,84,4,59,58,17,67,34,74,55,17,63,82,92,61,5,63,85,19,96,49,2,6
84,85,96,31,57,19,15,46,7,36,79,39,78,56,36,4,83,99,10,67,31,32,9
85,86,5,76,57,67,56,48,93,88,53,59,96,7,81,59,7,88,77,17,65,28,6
86,87,39,60,79,92,15,78,62,9,62,57,65,80,84,61,31,91,14,93,45,83,6
87,88,21,30,11,79,63,64,76,41,29,1,75,26,78,98,30,95,98,52,63,33,3
