,job,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,w
0,1,83,49,75,17,99,26,59,27,67,47,55,78,75,74,76,53,3,33,20,22,8
1,2,20,12,87,76,2,19,25,29,12,41,77,59,23,35,53,6,52,89,86,50,5
2,3,25,46,72,8,7,80,87,39,84,11,25,23,62,63,37,95,20,6,1,86,3
3,4,48,90,46,42,3,82,29,60,73,38,14,48,6,60,26,66,17,27,72,60,6
4,5,27,54,37,23,98,68,58,51,36,21,49,37,61,63,5,92,7,62,84,44,5
5,6,4,26,17,37,30,26,10,51,67,83,74,29,40,25,64,75,29,56,57,92,6
6,7,48,77,49,68,5,88,89,78,46,55,28,96,32,2,49,81,15,90,46,95,6
7,8,50,63,96,51,9,22,3,2,63,59,38,7,96,96,46,47,70,45,39,55,6
8,9,82,84,60,97,73,19,27,20,77,49,18,61,44,73,63,17,70,97,29,41,2
9,10,48,29,16,33,14,39,82,11,90,96,16,79,94,92,21,46,82,40,48,48,7
10,11,76,98,57,32,74,57,77,41,18,7,43,89,23,23,60,39,94,89,65,67,5
11,12,15,25,40,54,29,85,86,99,48,48,66,34,51,74,61,87,86,37,71,11,2
12,13,5,48,41,65,48,30,96,88,1,46,16,93,11,18,3,78,37,18,96,87,5
13,14,45,79,2,6,15,96,19,43,27,64,27,26,56,63,75,2,96,65,32,67,7
14,15,39,58,85,44,33,71,37,53,45,39,24,39,33,42,71,15,21,40,57,37,2
15,16,29,23,24,71,11,2,60,37,90,46,85,26,54,86,69,81,72,84,91,63,9
16,17,89,92,56,1,4,95,31,44,53,98,10,4,35,49,57,54,36,61,58,47,10
17,18,21,87,80,69,78,36,24,44,55,51,88,93,23,94,48,83,43,66,16,20,3
18,19,37,42,11,12,42,47,47,15,11,24,74,97,98,57,48,10,75,90,39,89,7
19,20,44,14,84,76,37,26,23,58,27,63,26,84,4,57,75,18,54,96,42,46,10
20,21,7,93,33,48,56,38,53,18,94,25,35,55,16,67,48,14,98,62,42,89,1
21,22,12,2,14,87,46,80,55,11,73,74,55,53,19,73,15,13,67,64,52,52,6
22,23,45,79,91,53,19,70,89,31,54,74,29,90,47,91,41,95,70,88,79,40,9
23,24,83,36,85,64,55,21,6,5,79,44,2,50,16,13,87,25,89,20,17,39,8
24,25,63,58,74,96,3,69,44,25,7,63,16,56,81,73,42,15,97,36,60,96,9
25,26,47,22,68,28,33,60,38,21,24,80,35,21,93,43,12,56,96,16,66,35,1
26,27,25,60,98,28,98,95,56,96,13,43,53,19,35,68,3,51,84,55,74,54,8
27,28,61,3,37,72,2,3,80,87,96,54,75,6,97,7,46,25,79,77,16,38,8
28,29,23,20,33,35,47,56,52,8,51,61,19,46,89,31,91,59,94,56,31,76,7
29,30,39,9,85,21,90,48,50,83,35,99,53,93,92,92,50,83,20,15,34,8,10
30,31,50,90,82,99,28,26,82,58,80,71,68,10,90,70,97,20,65,27,81,82,9
31,32,66,48,47,47,42,28,19,69,93,28,16,35,51,14,71,42,4,21,96,85,2
32,33,48,63,10,8,68,40,64,93,89,66,49,55,17,44,37,44,91,27,72,62,7
33,34,39,3,46,80,43,55,77,75,94,99,33,2,64,53,46,55,56,34,17,78,5
34,35,41,61,30,70,62,37,60,93,6,94,78,27,4,23,66,37,2,9,98,21,10
35,36,53,4,26,75,40,81,46,85,60,44,29,69,8,25,8,2,19,72,68,65,1
36,37,78,37,84,88,60,26,12,14,27,13,21,3,7,69,16,34,7,27,36,65,3
37,38,78,18,33,8,57,23,44,76,48,54,75,32,44,77,55,24,82,3,54,23,3
38,39,40,93,46,58,24,87,81,70,46,70,92,49,97,35,58,9,63,76,33,52,8
39,40,20,32,11,70,14,24,30,63,57,30,48,38,1,81,57,41,6,93,64,28,1
40,41,78,18,39,36,64,19,20,82,86,45,16,28,13,18,29,40,7,16,96,10,1
41,42,9,31,29,63,80,81,49,81,45,87,53,59,56,15,7,48,75,96,53,6,4
42,43,25,96,45,65,67,28,95,88,51,43,36,72,33,53,79,20,30,6,73,16,9
43,44,95,4,25,9,41,7,40,46,2,84,5,36,8,74,46,5,4,25,53,19,10
44,45,83,81,16,35,74,95,65,2,7,1,17,57,47,68,46,15,11,28,73,97,2
45,46,66,14,83,88,95,94,39,22,2,39,31,62,72,9,37,53,60,89,63,5,4
46,47,88,52,10,78,69,90,48,94,3,72,22,26,86,77,74,37,9,63,44,38,6
47,48,25,38,38,85,4,59,39,59,24,47,31,25,18,40,29,61,39,45,38,81,1
48,49,44,5,76,67,79,92,80,50,6,7,45,16,64,69,7,44,20,90,84,90,1
49,50,6,29,82,61,39,11,97,72,19,97,84,22,52,53,38,51,56,48,28,50,6
50,51,12,91,35,49,84,8,40,20,82,2,19,23,7,37,83,92,76,77,68,88,8
51,52,99,25,63,63,9,18,41,25,45,48,3,5,42,59,86,20,93,67,28,45,5
52,53,9,36,52,52,47,13,58,48,5,96,2,43,88,83,54,41,61,54,25,27,7
53,54,54,43,57,12,18,27,79,1,75,2,46,12,11,21,98,79,89,99,44,35,5
54,55,55,72,18,27,53,36,88,84,19,22,47,85,6,43,73,77,3,10,30,71,2
55,56,71,60,51,42,45,98,34,94,69,22,64,82,86,17,80,75,41,78,83,73,4
56,57,64,79,77,89,88,96,62,44,58,75,9,46,65,88,81,91,38,54,5,93,4
57,58,23,82,37,44,7,47,64,6,73,45,27,9,49,14,23,57,87,75,64,64,8
58,59,59,22,5,26,45,99,60,23,94,11,19,94,1,95,22,75,43,87,45,42,5
59,60,10,92,39,19,56,32,91,37,9,60,21,56,20,89,94,33,67,20,22,94,8
60,61,28,92,45,30,2,27,54,47,25,82,3,16,20,53,73,36,58,33,7,43,6
61,62,77,63,28,69,27,75,2,57,81,68,31,27,26,38,90,58,92,94,95,80,9
62,63,83,15,30,13,81,76,66,34,11,8,13,57,98,95,21,39,63,1,40,10,4
63,64,86,69,1,99,8,38,53,80,77,46,99,36,86,8,65,78,27,98,6,58,6
64,65,84,39,48,50,92,88,80,89,59,47,55,61,37,90,1,49,72,7,32,25,6
65,66,87,34,96,45,68,91,56,43,76,7,17,91,80,10,30,16,43,76,69,48,3
