,job,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,w
0,1,26,64,81,92,82,56,14,77,34,72,83,25,93,49,33,46,5,35,13,2,9
1,2,75,38,85,82,92,25,18,68,71,44,65,80,97,24,28,71,90,11,58,28,2
2,3,45,15,8,56,80,65,41,28,96,6,54,72,51,60,2,4,9,88,82,69,3
3,4,73,33,79,20,26,91,39,60,18,44,19,49,11,48,33,45,41,9,69,34,3
4,5,2,96,76,35,73,20,97,85,51,83,60,73,39,40,35,32,5,29,14,58,5
5,6,66,91,86,21,18,82,63,5,75,40,36,22,68,36,82,7,59,66,40,73,4
6,7,6,38,92,94,51,86,88,11,65,50,81,88,44,13,5,35,5,35,29,88,3
7,8,18,86,45,98,52,36,79,67,20,20,83,49,95,52,16,33,25,44,20,88,6
8,9,51,74,8,14,35,77,92,58,43,43,60,18,82,77,76,86,44,95,82,92,6
9,10,57,39,83,2,31,39,31,74,91,47,48,90,94,60,85,58,28,5,6,84,3
10,11,66,43,86,90,99,1,8,66,81,49,79,50,67,67,58,64,93,36,34,11,7
11,12,44,49,1,34,88,25,30,76,46,79,21,1,66,10,22,39,95,29,6,49,2
12,13,64,59,36,14,79,98,37,52,24,44,95,25,27,31,56,4,47,81,2,87,8
13,14,96,68,27,6,80,34,45,30,99,5,56,24,96,78,16,55,98,59,18,70,9
14,15,41,63,23,37,32,86,60,51,97,90,68,79,30,26,70,52,55,55,18,3,4
15,16,71,60,9,49,78,86,55,10,85,37,60,67,84,30,76,59,86,32,59,99,2
16,17,3,7,53,32,83,71,76,66,3,35,66,29,53,83,63,78,31,62,65,54,6
17,18,88,43,63,13,23,5,35,12,84,81,50,45,27,18,33,83,81,20,29,89,4
18,19,98,69,7,29,34,46,44,83,17,86,42,69,38,56,39,55,59,62,89,86,7
19,20,82,84,18,29,13,72,9,60,6,6,53,6,12,23,26,38,1,97,48,82,7
20,21,32,75,78,32,95,59,93,73,99,14,57,64,15,22,9,35,32,96,6,8,7
21,22,49,35,6,87,55,14,38,73,75,95,59,55,48,34,62,31,79,83,11,21,9
22,23,45,14,13,4,11,79,27,72,92,91,50,20,5,49,67,29,69,7,77,90,10
23,24,68,99,39,63,46,98,68,8,17,65,33,9,75,3,34,39,72,29,60,15,4
24,25,49,86,88,36,14,63,84,88,61,30,30,36,5,15,7,5,10,76,76,83,9
25,26,95,25,60,92,1,86,67,85,91,35,12,24,16,46,47,45,25,48,41,92,4
26,27,87,53,61,40,49,19,77,28,9,9,54,98,58,24,20,98,14,54,79,74,1
27,28,67,48,59,14,71,9,57,20,55,72,55,11,3,84,91,58,33,43,71,37,3
28,29,92,66,55,43,12,44,53,38,11,30,95,35,56,57,78,72,12,32,32,92,9
29,30,84,84,69,54,82,30,62,64,15,80,38,77,53,4,81,78,76,69,33,77,8
30,31,10,41,90,76,96,12,12,5,45,22,93,11,91,21,4,73,59,10,40,50,6
31,32,63,80,31,65,28,30,82,47,35,13,42,98,47,82,51,91,98,57,62,22,3
32,33,34,9,2,11,34,47,30,65,86,30,97,13,36,53,51,17,23,79,70,11,2
33,34,78,59,29,11,51,75,9,94,58,8,81,55,15,50,86,82,80,89,39,71,6
34,35,79,66,40,72,26,42,83,14,13,94,76,34,44,23,95,99,24,95,1,36,6
35,36,82,88,44,3,63,70,79,87,10,29,11,33,31,59,1,53,31,27,98,7,8
36,37,40,65,41,96,78,32,23,66,31,38,22,36,34,10,9,29,16,46,12,72,4
37,38,99,62,42,55,44,79,42,86,20,22,65,77,29,79,29,90,15,8,13,76,9
38,39,24,80,10,11,9,66,67,33,55,79,4,53,40,13,61,36,15,31,14,42,4
39,40,60,31,41,57,1,46,50,64,19,40,75,53,25,41,85,30,28,22,12,64,8
40,41,9,3,10,75,79,30,99,59,90,38,40,23,97,88,75,12,13,22,77,44,3
41,42,74,78,97,35,24,28,63,60,81,84,64,92,38,27,49,7,89,35,50,4,6
42,43,83,34,9,86,22,56,49,9,21,16,56,94,10,41,7,90,58,71,48,97,3
43,44,75,38,46,6,2,57,84,17,53,60,72,36,30,46,68,92,30,2,48,40,5
44,45,5,46,76,22,58,52,70,25,22,92,27,46,76,63,5,90,79,31,77,40,10
45,46,9,86,34,64,49,44,86,95,82,1,8,52,4,86,91,27,85,8,25,32,1
46,47,59,9,8,1,82,89,34,40,6,42,47,69,6,7,9,59,38,50,92,48,4
47,48,81,71,53,32,80,60,11,56,51,53,38,88,82,91,80,21,46,32,73,96,3
48,49,48,19,17,24,35,32,3,72,57,57,82,8,51,4,53,36,34,73,14,56,7
49,50,76,81,47,2,63,14,16,49,3,80,57,60,27,35,4,12,79,41,19,34,8
