,job,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,w
0,1,38,38,46,46,13,24,3,54,18,47,4,42,8,66,50,46,62,36,19,19,8
1,2,77,17,7,63,28,47,46,65,63,12,16,24,14,51,34,56,29,59,92,79,2
2,3,58,76,96,45,38,76,58,40,10,34,48,40,37,23,41,26,55,70,91,27,3
3,4,79,92,20,31,50,94,53,45,62,35,80,44,29,61,77,52,42,57,17,40,6
4,5,34,10,12,93,5,99,29,11,80,18,59,10,46,72,49,56,81,20,46,32,3
5,6,24,12,30,45,30,20,77,52,86,56,53,24,62,7,40,99,75,31,45,84,1
6,7,99,48,79,14,8,16,94,90,91,20,23,36,71,5,77,83,23,67,92,42,5
7,8,77,94,52,33,15,57,90,83,82,24,74,54,98,95,69,87,57,92,39,17,5
8,9,33,32,67,23,43,83,73,70,85,10,3,8,92,50,4,13,23,1,82,18,1
9,10,20,62,6,62,7,6,5,80,66,90,69,76,66,44,38,15,16,56,90,48,6
10,11,11,20,92,67,97,46,26,4,37,50,33,16,87,6,48,34,48,48,51,63,4
11,12,51,55,72,53,22,37,89,12,11,32,60,46,30,38,29,69,7,24,42,57,10
12,13,25,49,10,24,45,67,31,47,38,92,45,8,63,53,96,89,6,32,31,49,7
13,14,59,98,35,55,16,73,55,13,72,20,25,27,86,52,7,33,7,95,99,8,6
14,15,96,31,42,9,45,40,83,19,25,37,29,53,57,56,46,89,85,41,59,58,3
15,16,82,64,30,31,84,96,17,72,87,72,92,43,3,79,58,84,69,2,48,65,8
16,17,41,57,21,41,3,72,78,95,12,45,51,72,67,10,21,29,66,38,81,73,7
17,18,94,69,62,58,82,20,43,65,17,66,64,9,16,84,82,21,92,95,97,25,1
18,19,24,26,7,98,84,19,94,18,33,7,81,92,60,13,15,52,3,62,60,83,3
19,20,22,2,76,48,19,52,80,69,54,64,9,13,83,16,82,21,65,58,59,31,6
20,21,43,64,33,78,17,79,96,50,35,14,82,87,47,83,11,94,15,77,47,57,2
21,22,13,87,52,11,52,15,69,71,50,48,73,36,52,12,12,12,54,20,88,28,2
22,23,19,39,45,60,64,67,42,44,4,79,58,65,40,11,69,51,46,41,71,52,1
23,24,26,43,31,11,35,18,16,71,7,76,21,2,95,77,66,54,65,70,45,44,10
24,25,98,96,7,3,75,18,69,81,15,12,34,34,18,81,44,63,2,56,43,42,9
25,26,89,76,64,40,29,97,77,74,9,36,39,39,21,69,15,78,95,17,34,45,3
26,27,9,17,76,5,82,83,93,12,94,37,84,86,49,14,69,20,27,65,84,27,6
27,28,35,33,51,26,5,59,80,98,18,27,43,17,59,65,27,29,56,61,16,87,1
28,29,15,24,19,32,90,14,34,78,60,59,41,34,58,55,71,42,35,34,22,87,7
29,30,17,40,41,94,41,37,65,70,74,24,41,42,66,49,83,63,91,82,84,28,3
30,31,20,84,32,52,62,44,50,32,55,61,98,1,90,36,35,88,64,16,84,84,5
31,32,14,60,20,34,38,47,50,21,65,58,54,44,32,16,30,56,87,66,79,29,7
32,33,15,24,96,45,65,27,60,85,84,58,99,90,23,45,88,15,49,15,1,65,2
33,34,3,8,50,51,55,91,29,78,52,45,89,35,98,25,51,4,61,78,83,86,5
34,35,17,63,30,68,67,14,67,66,57,46,60,39,19,27,49,97,66,98,29,37,7
35,36,76,67,2,7,37,68,45,19,98,55,60,91,61,4,12,64,18,3,42,18,5
36,37,80,82,23,28,20,25,58,40,36,11,99,51,89,28,30,74,27,61,68,52,7
37,38,99,88,87,73,86,23,97,84,39,52,4,55,30,17,15,49,27,16,10,55,7
38,39,85,26,56,94,81,52,20,60,30,98,64,11,25,42,22,32,92,73,58,57,8
39,40,70,9,41,9,32,38,60,19,2,28,38,97,63,54,94,41,60,66,25,91,5
40,41,49,54,41,61,18,63,64,50,31,61,97,24,48,28,17,23,12,57,16,8,7
41,42,59,47,38,26,31,77,51,25,33,24,78,62,80,34,6,92,95,30,24,17,3
42,43,84,24,77,97,6,48,18,16,39,79,30,68,76,71,63,49,71,29,97,31,9
43,44,41,47,65,46,37,73,15,13,2,76,38,9,15,93,17,43,62,36,21,18,2
44,45,38,89,78,8,46,76,85,19,42,7,63,64,75,6,26,65,78,70,91,31,2
45,46,31,23,10,13,42,62,25,32,8,43,44,62,67,16,75,69,39,64,14,51,2
46,47,25,18,36,11,12,72,86,14,29,18,40,91,24,95,34,56,75,36,39,96,10
47,48,77,37,40,21,13,50,73,20,39,80,50,21,77,6,28,27,9,7,33,35,5
48,49,94,55,68,65,8,46,86,95,26,92,94,6,93,29,10,76,95,26,12,61,3
49,50,47,91,39,36,69,15,2,61,2,81,54,3,87,40,75,64,94,82,68,31,8
