,job,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,w
0,1,74,80,57,5,49,36,61,99,75,73,64,45,62,49,85,60,21,77,57,42,8
1,2,6,19,71,51,57,99,49,54,6,81,36,92,34,13,83,16,7,85,91,29,8
2,3,10,81,1,6,70,58,5,77,31,31,77,26,33,91,33,64,26,80,54,67,10
3,4,72,34,9,59,51,95,25,26,65,26,93,79,48,40,6,44,19,40,97,5,1
4,5,35,51,97,58,17,2,52,2,28,34,33,32,67,87,75,94,90,82,68,2,6
5,6,66,80,34,50,34,12,12,78,56,37,87,82,74,30,4,95,39,47,93,25,10
6,7,66,42,2,93,81,62,26,36,11,74,69,29,17,35,42,1,57,31,79,2,3
7,8,79,66,37,62,54,1,4,8,33,89,54,95,11,94,24,44,40,95,13,36,1
8,9,99,83,91,32,49,80,90,19,15,4,27,45,13,66,70,55,75,50,4,23,7
9,10,6,12,20,99,40,12,1,70,44,66,91,86,81,14,80,43,24,3,80,76,7
10,11,29,50,84,83,88,91,81,79,8,98,46,11,32,23,65,18,2,70,55,87,1
11,12,22,75,12,16,78,84,40,74,33,19,68,68,74,63,26,55,57,47,27,67,6
12,13,2,89,76,86,31,76,55,39,34,99,76,6,2,57,72,99,78,21,78,93,7
13,14,4,57,41,65,80,38,55,61,4,29,74,48,18,45,71,2,50,31,39,84,10
14,15,47,87,98,50,23,77,88,54,72,45,19,61,58,30,96,27,22,59,24,54,3
15,16,35,20,77,70,88,6,81,34,33,92,16,50,99,55,28,36,94,36,5,11,5
16,17,25,25,64,57,78,3,7,54,89,64,82,91,93,45,69,23,8,43,32,95,9
17,18,15,49,46,8,95,89,94,90,81,19,13,25,27,68,49,30,74,11,2,18,5
18,19,60,93,90,39,30,33,63,8,50,1,90,61,87,73,37,75,77,32,30,27,9
19,20,12,30,70,60,7,64,24,48,51,40,16,11,85,73,94,19,6,56,83,9,2
20,21,79,84,1,8,27,91,45,81,33,86,65,34,85,85,3,79,80,66,23,4,2
21,22,48,1,97,88,25,69,70,31,86,52,70,65,7,48,63,14,27,79,10,85,3
22,23,48,3,16,52,44,82,42,46,75,16,74,3,37,41,4,25,16,25,92,49,6
23,24,86,22,59,51,10,6,23,30,94,77,11,67,5,99,26,7,61,41,31,14,3
24,25,49,76,48,47,60,88,72,94,71,59,26,89,83,8,32,30,70,47,34,6,6
25,26,50,99,35,45,9,74,98,83,62,58,48,52,77,73,54,92,9,53,10,32,5
26,27,6,21,57,95,69,38,34,98,10,61,94,31,11,25,75,49,86,44,28,38,8
27,28,26,87,54,94,34,41,86,45,52,18,87,15,36,60,61,95,77,32,75,24,10
28,29,42,6,36,48,30,87,29,96,76,33,32,90,59,34,28,87,68,58,96,96,3
29,30,93,10,80,92,60,26,41,8,23,97,67,12,42,32,7,83,26,12,52,90,2
30,31,51,51,14,59,64,6,23,41,79,36,44,56,2,78,46,64,65,27,41,86,3
31,32,54,19,81,56,99,81,5,84,30,21,56,41,36,40,14,31,97,19,38,7,5
32,33,3,84,51,32,47,35,93,93,13,14,81,16,48,16,17,92,13,41,34,40,10
33,34,62,7,14,3,9,24,87,98,51,74,84,97,1,62,43,69,13,73,15,46,8
34,35,58,85,84,53,21,33,83,21,39,28,87,33,43,11,3,89,60,47,34,58,3
35,36,90,84,58,24,41,77,66,98,51,79,76,27,11,61,9,29,49,70,13,85,10
36,37,46,82,9,29,12,8,3,3,25,73,63,49,40,64,74,81,85,25,86,11,2
37,38,17,75,41,77,10,80,75,74,30,10,98,24,34,2,77,39,62,24,51,5,4
38,39,48,67,28,84,5,11,34,99,79,15,93,61,58,19,4,16,33,79,60,26,9
39,40,14,20,57,59,89,97,71,44,92,18,51,3,29,97,90,92,92,51,98,93,8
40,41,27,92,25,56,40,85,77,38,63,88,71,14,58,42,92,63,43,14,7,46,2
41,42,68,74,8,73,77,61,64,21,5,67,60,81,32,53,8,62,20,10,61,11,4
42,43,23,31,98,78,50,62,53,84,22,81,78,7,98,31,60,91,12,49,93,15,8
43,44,30,21,52,90,87,96,84,16,78,8,41,38,41,65,83,6,80,32,49,6,3
44,45,7,95,58,64,64,27,85,9,48,62,48,79,84,74,36,53,33,92,52,68,6
45,46,60,84,64,59,90,8,94,51,74,74,2,90,52,34,48,65,13,80,56,92,9
46,47,12,37,11,59,41,36,32,4,93,57,13,53,62,60,13,25,31,9,67,85,2
47,48,98,79,24,81,53,37,84,92,34,12,55,41,38,25,11,29,41,57,50,52,9
48,49,40,52,80,51,65,51,24,36,8,45,13,37,28,18,94,85,89,87,8,41,7
49,50,84,50,33,67,92,66,23,46,83,56,72,9,44,38,39,56,34,8,15,55,3
