,job,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,w
0,1,5,45,65,85,9,96,94,19,15,46,89,94,40,35,42,9,41,6,28,85,9
1,2,35,30,83,82,39,20,20,67,92,8,28,24,24,12,95,14,53,76,48,2,10
2,3,48,88,84,59,61,49,94,60,94,66,94,22,54,10,85,18,53,4,12,30,5
3,4,97,83,68,7,80,61,29,33,90,54,81,86,89,79,18,62,9,25,20,63,3
4,5,98,6,71,6,71,58,63,70,87,1,63,50,82,19,90,97,64,52,86,72,7
5,6,87,34,77,41,85,57,16,22,86,70,5,69,84,65,9,17,34,22,71,35,8
6,7,39,38,43,71,27,56,77,94,85,64,12,60,98,99,15,36,39,65,20,10,2
7,8,68,48,59,71,23,93,40,2,20,92,40,18,67,45,25,93,11,54,11,65,4
8,9,73,64,2,92,44,26,1,36,43,81,32,67,75,7,26,87,14,25,39,92,1
9,10,38,84,83,88,17,39,9,39,80,87,77,93,96,71,38,22,94,14,60,45,5
10,11,52,55,99,88,43,48,94,12,4,99,46,61,60,19,10,41,49,75,22,73,4
11,12,56,40,24,83,82,92,63,87,31,74,10,1,17,85,67,85,76,25,63,50,9
12,13,26,82,34,86,86,78,96,45,74,60,63,93,10,70,18,50,3,68,92,79,9
13,14,14,82,49,9,98,71,50,23,38,22,52,46,32,62,90,7,88,21,9,63,2
14,15,84,86,60,59,20,52,40,15,21,84,33,62,7,28,76,61,59,70,33,1,4
15,16,74,31,28,52,44,75,19,61,73,15,55,1,65,93,44,25,41,94,51,26,10
16,17,75,18,23,80,96,20,70,70,29,54,54,42,98,26,8,4,32,4,84,85,5
17,18,82,15,19,69,53,15,38,38,34,37,37,48,16,83,68,68,9,63,61,20,6
18,19,33,56,91,49,66,81,13,20,1,74,37,42,2,70,49,83,68,33,90,58,6
19,20,5,68,81,44,48,99,80,55,51,51,54,91,38,83,42,34,62,95,8,15,3
20,21,55,53,91,65,96,26,9,78,10,47,88,62,58,86,87,51,99,84,65,26,1
21,22,57,10,16,11,42,2,95,39,58,48,7,27,94,65,25,61,33,35,2,30,5
22,23,22,13,97,98,24,89,92,70,28,67,30,91,33,64,66,40,33,79,93,37,3
23,24,47,30,87,45,43,80,61,55,55,22,68,38,46,72,15,46,20,15,56,94,8
24,25,69,19,44,55,14,61,59,73,25,45,85,62,62,38,25,27,19,46,70,75,1
25,26,12,74,92,68,7,61,19,13,16,39,87,82,91,12,98,9,41,78,32,27,5
26,27,8,68,4,7,61,99,22,53,75,52,28,36,6,30,57,20,21,45,14,64,5
27,28,94,59,4,19,93,78,5,73,5,2,77,50,12,63,1,57,74,84,22,27,9
28,29,30,4,26,59,96,42,46,43,30,4,77,25,46,28,97,58,10,41,99,18,4
29,30,45,40,75,55,24,69,61,36,97,28,55,94,71,85,91,91,72,89,88,13,9
30,31,47,33,11,72,37,89,65,5,84,91,72,75,24,48,76,3,2,53,46,44,9
31,32,54,48,12,69,36,66,35,97,58,43,48,89,6,45,13,33,63,73,16,54,4
32,33,8,33,35,59,80,28,46,11,13,69,85,7,61,95,97,84,56,43,44,80,6
33,34,42,13,2,26,63,5,73,43,61,72,70,97,50,73,91,76,40,24,48,45,6
34,35,66,62,56,80,51,71,24,61,23,31,82,73,84,61,51,41,98,86,38,92,6
35,36,64,25,77,40,4,45,66,89,26,81,36,25,95,6,15,34,91,74,12,10,5
