,job,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,w
0,1,68,85,6,91,9,84,64,49,86,61,50,75,28,14,10,62,16,94,99,60,1
1,2,19,15,94,57,10,52,69,54,54,72,60,43,27,67,10,82,16,93,92,64,4
2,3,87,32,21,46,22,73,93,29,96,48,11,65,8,46,3,39,72,96,37,90,2
3,4,61,92,69,38,67,83,39,55,87,40,47,7,96,33,74,99,8,10,99,43,5
4,5,20,60,49,10,17,79,56,56,21,99,88,99,25,7,29,6,67,20,76,12,3
5,6,47,93,73,56,90,15,40,16,20,59,44,16,29,33,42,17,75,34,67,71,9
6,7,63,8,84,9,35,42,46,23,77,93,86,50,36,30,30,65,49,61,57,71,9
7,8,40,25,98,33,25,80,42,15,78,86,61,11,3,30,95,3,13,99,72,8,3
8,9,72,55,62,11,36,51,16,53,82,71,52,20,49,69,41,64,69,87,45,49,4
9,10,99,68,30,75,47,90,7,91,77,75,59,29,51,13,87,28,82,82,74,20,3
10,11,48,93,97,99,25,65,82,45,52,99,40,77,86,34,66,71,58,89,33,22,6
11,12,37,73,18,87,1,7,21,6,46,2,82,15,34,83,84,39,16,20,15,44,2
12,13,52,85,43,81,85,88,7,44,42,24,9,50,71,91,83,78,2,12,78,5,8
13,14,85,27,63,22,43,22,13,91,76,85,72,29,96,51,49,94,20,32,2,5,3
14,15,30,60,3,95,74,94,36,46,61,35,62,33,89,53,60,36,82,10,89,66,4
15,16,58,7,11,76,44,3,91,34,99,61,82,13,65,23,83,71,86,69,14,41,5
16,17,4,33,98,84,70,3,62,86,28,42,41,4,70,55,41,74,79,8,2,62,1
17,18,29,78,93,75,8,64,46,52,20,41,47,99,70,11,55,87,87,74,92,52,1
18,19,41,62,50,3,27,95,3,76,72,66,25,80,88,37,88,10,47,35,98,7,6
19,20,35,94,14,71,40,6,93,37,85,18,78,22,68,84,70,49,14,23,21,34,9
20,21,22,98,15,99,47,25,84,66,22,24,41,51,50,31,88,40,36,95,39,35,8
21,22,62,53,76,12,26,89,70,54,23,68,99,96,81,72,68,11,63,43,76,75,4
22,23,11,22,6,45,21,93,66,27,17,2,44,82,11,73,38,5,5,33,99,62,3
23,24,79,60,56,27,71,16,56,45,32,98,98,53,14,34,45,74,69,16,7,34,1
24,25,4,76,66,24,54,66,34,10,37,39,76,11,48,25,83,94,97,72,88,14,7
25,26,23,52,29,49,51,37,63,27,98,11,83,36,12,19,3,55,2,68,15,59,5
26,27,82,69,23,22,76,12,5,39,60,46,39,8,97,63,79,67,13,7,45,96,7
27,28,88,52,51,4,37,29,98,58,70,92,84,70,14,37,34,1,90,64,87,16,9
28,29,96,19,68,91,55,53,87,2,99,60,1,97,34,23,58,31,14,90,85,39,1
29,30,91,35,9,87,42,91,14,95,13,60,71,28,66,19,10,22,32,71,99,6,10
30,31,56,17,84,72,61,78,33,57,62,83,49,86,76,43,95,16,69,64,53,15,8
31,32,17,82,36,33,82,77,80,4,13,50,23,17,28,10,52,63,92,11,82,59,9
32,33,3,20,75,6,59,72,23,12,1,32,53,59,1,84,66,21,74,22,25,17,2
33,34,61,34,53,97,64,80,10,5,33,76,56,75,2,66,18,79,34,61,87,86,5
34,35,33,48,23,54,68,5,13,10,92,8,39,95,16,74,65,70,26,20,6,85,5
35,36,3,24,7,60,83,6,38,58,46,98,71,9,12,9,89,55,14,67,32,48,2
36,37,72,96,50,60,93,27,55,59,94,87,97,74,66,22,51,55,70,16,96,11,1
37,38,60,22,51,39,53,56,39,89,35,23,78,69,22,65,68,86,43,18,80,26,5
38,39,34,82,93,11,47,54,96,84,67,50,96,14,8,11,22,8,40,95,1,26,5
39,40,6,62,30,94,69,17,36,43,88,77,87,65,88,58,29,76,30,93,97,48,2
40,41,76,88,97,51,20,11,37,33,30,90,49,84,47,67,49,78,33,45,9,59,3
41,42,4,76,99,33,94,70,58,23,68,43,36,70,26,33,63,58,75,42,90,2,2
42,43,20,45,72,83,99,17,74,76,5,26,80,69,41,94,42,15,71,51,85,76,6
43,44,92,80,73,96,3,90,88,69,9,14,65,63,96,40,67,64,63,7,75,69,3
44,45,91,37,30,87,34,14,97,84,23,28,56,25,14,66,59,18,24,31,17,52,9
45,46,67,30,8,81,60,76,22,50,38,13,89,55,88,83,52,62,75,99,31,38,7
46,47,47,87,68,18,53,20,60,17,97,44,97,91,64,20,50,26,24,90,71,21,5
47,48,27,20,67,96,11,28,45,99,42,55,45,99,35,11,78,83,23,81,23,23,10
48,49,61,85,50,10,89,89,81,2,93,75,43,73,91,92,34,16,85,29,81,74,4
49,50,51,36,15,96,36,57,50,53,16,26,14,76,20,53,75,62,25,29,82,89,5
